Event.Date,Injury.Severity,Aircraft.damage,Make,Model,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Fatality Flag,Risk Score
1995-06-26,Non-Fatal,Substantial,PIPER,PA-28R-200,Personal,0.0,0.0,1.0,2.0,0,1.0
1995-06-26,Non-Fatal,Substantial,CESSNA,172,Personal,0.0,0.0,0.0,4.0,0,0.0
1995-06-27,Fatal(2),Destroyed,PIPER,PA-28-180,Personal,2.0,0.0,0.0,0.0,1,10.0
1995-06-27,Non-Fatal,Substantial,PIPER,PA-38-112,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-27,Non-Fatal,Substantial,BEECH,A36,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-27,Non-Fatal,Substantial,CESSNA,152,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-27,Non-Fatal,Substantial,OTHER,KITFOX III,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-27,Non-Fatal,Substantial,PIPER,PA-28-235,Business,0.0,0.0,0.0,1.0,0,0.0
1995-06-27,Non-Fatal,Substantial,PIPER,PA-18-150,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-28,Fatal(2),Destroyed,CESSNA,182Q,Personal,2.0,0.0,0.0,0.0,1,10.0
1995-06-28,Non-Fatal,Substantial,PIPER,PA-24-180,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-28,Non-Fatal,Substantial,CESSNA,172P,Personal,0.0,0.0,1.0,0.0,0,1.0
1995-06-28,Non-Fatal,Substantial,QUICKSILVER,MXLR II,Personal,0.0,1.0,0.0,0.0,0,2.0
1995-06-28,Non-Fatal,Substantial,MAULE,M-5-235,Personal,0.0,0.0,0.0,1.0,0,0.0
